DBName                                                                                                                           type                                                                                                                                                                                                                                                             type_desc                                                                                                                                                                                                                                                        cnt
KnowledgePlus_Sys                                                                                                                UQ                                                                                                                                                                                                                                                               UNIQUE 제약 조건                                                                                                                                                                                                                                                     1
KnowledgePlus_Sys                                                                                                                V                                                                                                                                                                                                                                                                뷰                                                                                                                                                                                                                                                                1
KnowledgePlus_User                                                                                                               AF                                                                                                                                                                                                                                                               집계 함수(CLR)                                                                                                                                                                                                                                                       1
KnowledgePlus_User                                                                                                               C                                                                                                                                                                                                                                                                CHECK 제약 조건                                                                                                                                                                                                                                                      1
KnowledgePlus_User                                                                                                               D                                                                                                                                                                                                                                                                DEFAULT(제약 조건 또는 독립 실행형)                                                                                                                                                                                                                                         62229
KnowledgePlus_User                                                                                                               EC                                                                                                                                                                                                                                                               Edge 제약 조건                                                                                                                                                                                                                                                       1
KnowledgePlus_User                                                                                                               F                                                                                                                                                                                                                                                                FOREIGN KEY 제약 조건                                                                                                                                                                                                                                                2
KnowledgePlus_User                                                                                                               FN                                                                                                                                                                                                                                                               SQL 스칼라 함수                                                                                                                                                                                                                                                       1
KnowledgePlus_User                                                                                                               FS                                                                                                                                                                                                                                                               어셈블리(CLR) 스칼라 함수                                                                                                                                                                                                                                                 1
KnowledgePlus_User                                                                                                               FT                                                                                                                                                                                                                                                               어셈블리(CLR) 테이블 반환 함수                                                                                                                                                                                                                                              1
KnowledgePlus_User                                                                                                               IF                                                                                                                                                                                                                                                               SQL 인라인 테이블 반환 함수                                                                                                                                                                                                                                                1
KnowledgePlus_User                                                                                                               IT                                                                                                                                                                                                                                                               내부 테이블                                                                                                                                                                                                                                                           5
KnowledgePlus_User                                                                                                               P                                                                                                                                                                                                                                                                SQL 저장 프로시저                                                                                                                                                                                                                                                      11
KnowledgePlus_User                                                                                                               PC                                                                                                                                                                                                                                                               어셈블리(CLR) 저장 프로시저                                                                                                                                                                                                                                                1
KnowledgePlus_User                                                                                                               PG                                                                                                                                                                                                                                                               계획 지침                                                                                                                                                                                                                                                            1
KnowledgePlus_User                                                                                                               PK                                                                                                                                                                                                                                                               PRIMARY KEY 제약 조건                                                                                                                                                                                                                                                3611
KnowledgePlus_User                                                                                                               R                                                                                                                                                                                                                                                                규칙 (이전 스타일의 독립 실행형)                                                                                                                                                                                                                                              1
KnowledgePlus_User                                                                                                               RF                                                                                                                                                                                                                                                               복제 필터 프로시저                                                                                                                                                                                                                                                       1
KnowledgePlus_User                                                                                                               S                                                                                                                                                                                                                                                                시스템 기본 테이블                                                                                                                                                                                                                                                       45
KnowledgePlus_User                                                                                                               SN                                                                                                                                                                                                                                                               동의어                                                                                                                                                                                                                                                              1
KnowledgePlus_User                                                                                                               SO                                                                                                                                                                                                                                                               시퀀스 개체                                                                                                                                                                                                                                                           1
KnowledgePlus_User                                                                                                               SQ                                                                                                                                                                                                                                                               서비스 큐                                                                                                                                                                                                                                                            3
KnowledgePlus_User                                                                                                               TF                                                                                                                                                                                                                                                               SQL 테이블 반환 함수                                                                                                                                                                                                                                                    1
KnowledgePlus_User                                                                                                               TR                                                                                                                                                                                                                                                               SQL DML 트리거                                                                                                                                                                                                                                                      2
KnowledgePlus_User                                                                                                               U                                                                                                                                                                                                                                                                테이블(사용자 정의)                                                                                                                                                                                                                                                      3624
KnowledgePlus_User                                                                                                               UQ                                                                                                                                                                                                                                                               UNIQUE 제약 조건                                                                                                                                                                                                                                                     1
KnowledgePlus_User                                                                                                               V                                                                                                                                                                                                                                                                뷰                                                                                                                                                                                                                                                                1
QRSSEARCH                                                                                                                        AF                                                                                                                                                                                                                                                               집계 함수(CLR)                                                                                                                                                                                                                                                       1
QRSSEARCH                                                                                                                        C                                                                                                                                                                                                                                                                CHECK 제약 조건                                                                                                                                                                                                                                                      1
QRSSEARCH                                                                                                                        D                                                                                                                                                                                                                                                                DEFAULT(제약 조건 또는 독립 실행형)                                                                                                                                                                                                                                         34
QRSSEARCH                                                                                                                        EC                                                                                                                                                                                                                                                               Edge 제약 조건                                                                                                                                                                                                                                                       1
